Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Theo Goluboff,46.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0
2.0,Gael Augusto Lapeyre,75.0,3.0,4.0,4.0,3.0,3.0,3.0,6.0,7.0,3.0,1.0,6.0,1.0,4.0,3.0,14.0,5.0,5.0
3.0,Manuel Gutman,140.0,6.0,7.0,3.0,4.0,6.0,7.0,1.0,23.0,8.0,12.0,4.0,26.0,21.0,8.0,1.0,1.0,2.0
4.0,Guido Dipietro,152.0,14.0,10.0,5.0,7.0,5.0,12.0,2.0,1.0,11.0,14.0,8.0,10.0,30.0,16.0,2.0,2.0,3.0
5.0,Bautista Bonazzola,158.0,1.0,2.0,2.0,2.0,2.0,2.0,37.0,13.0,2.0,19.0,14.0,6.0,3.0,7.0,14.0,5.0,27.0
6.0,Federico da Fonseca,199.0,5.0,5.0,11.0,5.0,4.0,4.0,50.0,27.0,13.0,15.0,5.0,3.0,1.0,5.0,14.0,5.0,27.0
7.0,Francisco Hamlin,211.0,7.0,1.0,8.0,9.0,7.0,11.0,33.0,9.0,4.0,25.0,15.0,5.0,33.0,6.0,14.0,5.0,19.0
8.0,Marcos Masini,244.0,19.0,10.0,13.0,18.0,28.0,23.0,25.0,3.0,6.0,23.0,13.0,6.0,6.0,12.0,12.0,5.0,22.0
9.0,Damián Campos,259.0,17.0,10.0,9.0,12.0,8.0,5.0,56.0,13.0,7.0,37.0,2.0,9.0,14.0,14.0,14.0,5.0,27.0
10.0,Matías Ponte,272.0,10.0,17.0,10.0,11.0,11.0,8.0,32.0,12.0,18.0,20.0,10.0,12.0,42.0,13.0,14.0,5.0,27.0
11.0,Genaro Sahib Leguizamon,325.0,8.0,35.0,17.0,13.0,9.0,6.0,62.0,20.0,14.0,38.0,18.0,13.0,9.0,17.0,14.0,5.0,27.0
12.0,Agustín Bernasconi,333.0,16.0,30.0,14.0,14.0,13.0,13.0,11.0,4.0,9.0,59.0,22.0,46.0,47.0,10.0,14.0,5.0,6.0
13.0,Luka Arce González,372.0,25.0,14.0,33.0,27.0,16.0,21.0,62.0,19.0,26.0,8.0,19.0,15.0,5.0,36.0,14.0,5.0,27.0
14.0,Francisco Cabral de Jesus,391.0,9.0,20.0,18.0,16.0,10.0,10.0,44.0,23.0,16.0,60.0,25.0,36.0,17.0,41.0,14.0,5.0,27.0
15.0,Nicolas Campanario,404.0,34.0,41.0,25.0,29.0,22.0,20.0,3.0,25.0,28.0,27.0,17.0,31.0,43.0,48.0,5.0,5.0,1.0
16.0,Carlos Villanueva,410.0,45.0,24.0,31.0,31.0,20.0,17.0,20.0,25.0,57.0,4.0,9.0,49.0,25.0,29.0,11.0,5.0,8.0
17.0,Facundo Finola,437.0,48.0,22.0,16.0,23.0,18.0,25.0,45.0,13.0,16.0,16.0,47.0,28.0,28.0,46.0,14.0,5.0,27.0
18.0,Felipe Maierowicz,458.0,20.0,25.0,26.0,52.0,63.0,60.0,46.0,32.0,25.0,5.0,7.0,22.0,28.0,1.0,14.0,5.0,27.0
19.0,Ramiro Mendez,494.0,4.0,16.0,6.0,6.0,63.0,60.0,26.0,59.0,5.0,83.0,12.0,20.0,24.0,64.0,14.0,5.0,27.0
20.0,Andrés Claros,523.0,22.0,44.0,37.0,24.0,29.0,35.0,16.0,13.0,22.0,83.0,24.0,39.0,49.0,42.0,14.0,5.0,25.0
21.0,Romina Peretti,540.0,29.0,108.0,27.0,21.0,17.0,14.0,30.0,2.0,41.0,46.0,23.0,26.0,45.0,65.0,14.0,5.0,27.0
22.0,Leonardo Ezequiel Cruz,552.0,31.0,49.0,85.0,58.0,63.0,60.0,4.0,20.0,36.0,6.0,33.0,25.0,36.0,24.0,3.0,3.0,16.0
23.0,Federico Ojeda,563.0,13.0,19.0,50.0,72.0,63.0,60.0,24.0,10.0,20.0,56.0,34.0,8.0,72.0,25.0,14.0,5.0,18.0
24.0,Ariel Burak,573.0,52.0,31.0,34.0,47.0,35.0,29.0,21.0,22.0,28.0,51.0,97.0,33.0,21.0,33.0,14.0,5.0,20.0
25.0,Axel Bazán,580.0,12.0,9.0,32.0,70.0,63.0,60.0,62.0,59.0,39.0,2.0,59.0,34.0,7.0,26.0,14.0,5.0,27.0
26.0,Cesar Leandro Alvarado,589.0,11.0,32.0,7.0,15.0,31.0,60.0,62.0,59.0,35.0,83.0,27.0,11.0,58.0,52.0,14.0,5.0,27.0
27.0,Matias Ripoll,591.0,15.0,62.0,15.0,25.0,38.0,60.0,62.0,59.0,19.0,41.0,84.0,17.0,16.0,32.0,14.0,5.0,27.0
28.0,Fabrizio Rocco,639.0,42.0,106.0,39.0,20.0,15.0,15.0,42.0,48.0,45.0,83.0,20.0,41.0,38.0,39.0,14.0,5.0,27.0
29.0,Carlos Pedro Casado de Achával,652.0,61.0,95.0,65.0,26.0,21.0,19.0,8.0,10.0,65.0,36.0,48.0,76.0,54.0,51.0,6.0,4.0,7.0
30.0,Aaron Scarpati Curin,654.0,27.0,48.0,30.0,32.0,24.0,42.0,62.0,30.0,55.0,32.0,32.0,38.0,60.0,96.0,14.0,5.0,27.0
30.0,Lucas Fauci Bassarsky,654.0,84.0,27.0,56.0,54.0,37.0,44.0,55.0,13.0,27.0,53.0,46.0,64.0,27.0,21.0,14.0,5.0,27.0
32.0,Fernando Lomazzi,662.0,77.0,18.0,73.0,128.0,55.0,60.0,10.0,53.0,42.0,24.0,40.0,35.0,11.0,4.0,14.0,5.0,13.0
33.0,Carolina Visentin,703.0,55.0,55.0,67.0,48.0,63.0,41.0,62.0,41.0,37.0,7.0,11.0,45.0,76.0,49.0,14.0,5.0,27.0
34.0,Francisco Thalasselis,747.0,24.0,99.0,12.0,8.0,14.0,16.0,62.0,59.0,30.0,62.0,70.0,136.0,71.0,38.0,14.0,5.0,27.0
35.0,Juan Ignacio Caneppa,754.0,105.0,98.0,39.0,33.0,26.0,60.0,15.0,30.0,44.0,65.0,58.0,28.0,96.0,30.0,7.0,5.0,15.0
36.0,Alexander Claros,835.0,37.0,33.0,63.0,79.0,54.0,59.0,18.0,35.0,38.0,83.0,57.0,139.0,57.0,53.0,14.0,5.0,11.0
37.0,Juan Cruz Oriti Tizio,859.0,76.0,74.0,42.0,190.0,63.0,60.0,62.0,27.0,32.0,83.0,43.0,30.0,12.0,19.0,14.0,5.0,27.0
38.0,Giuliano Tumini,887.0,110.0,57.0,81.0,87.0,43.0,56.0,51.0,41.0,81.0,26.0,112.0,66.0,14.0,22.0,14.0,5.0,21.0
39.0,Agustina Ranalle,894.0,64.0,147.0,28.0,10.0,12.0,9.0,62.0,59.0,123.0,83.0,50.0,106.0,52.0,43.0,14.0,5.0,27.0
40.0,Pablo Andres Amavet,928.0,46.0,115.0,78.0,108.0,63.0,60.0,62.0,59.0,51.0,80.0,62.0,63.0,20.0,15.0,14.0,5.0,27.0
41.0,Pascal Ordano,942.0,53.0,13.0,60.0,59.0,40.0,38.0,9.0,51.0,46.0,83.0,67.0,52.0,250.0,92.0,14.0,5.0,10.0
42.0,Luis Fernando Landauro Salamanca,966.0,90.0,84.0,100.0,86.0,63.0,60.0,62.0,39.0,79.0,45.0,85.0,79.0,39.0,9.0,14.0,5.0,27.0
43.0,Nicolás Maurokefalidis,979.0,41.0,23.0,52.0,22.0,63.0,58.0,62.0,48.0,64.0,83.0,93.0,60.0,160.0,104.0,14.0,5.0,27.0
43.0,Dante Nocera,979.0,39.0,46.0,66.0,84.0,63.0,60.0,62.0,32.0,71.0,21.0,26.0,69.0,250.0,44.0,14.0,5.0,27.0
45.0,María Julieta Diaz,988.0,23.0,84.0,29.0,45.0,63.0,60.0,12.0,59.0,66.0,33.0,29.0,179.0,250.0,11.0,14.0,5.0,26.0
46.0,Franco Cano,995.0,25.0,39.0,55.0,49.0,63.0,60.0,34.0,59.0,69.0,72.0,168.0,116.0,80.0,60.0,14.0,5.0,27.0
47.0,Gabriel Alejandro Quiroz,1040.0,156.0,87.0,116.0,69.0,63.0,47.0,61.0,46.0,73.0,74.0,63.0,89.0,13.0,37.0,14.0,5.0,27.0
48.0,Santiago Basso,1042.0,122.0,119.0,87.0,76.0,49.0,45.0,62.0,59.0,21.0,40.0,102.0,58.0,89.0,67.0,14.0,5.0,27.0
49.0,Ticiano Vilardi,1045.0,38.0,29.0,24.0,34.0,30.0,28.0,62.0,59.0,23.0,83.0,168.0,67.0,250.0,104.0,14.0,5.0,27.0
50.0,Nahuel Agustín Bogner,1049.0,51.0,34.0,19.0,17.0,63.0,27.0,62.0,59.0,48.0,83.0,98.0,88.0,250.0,104.0,14.0,5.0,27.0
51.0,Manuel Oribe,1059.0,130.0,8.0,147.0,149.0,59.0,60.0,23.0,13.0,134.0,83.0,114.0,37.0,10.0,61.0,14.0,5.0,12.0
52.0,Juan Manuel Sangregorio,1087.0,69.0,124.0,84.0,130.0,63.0,60.0,62.0,58.0,280.0,13.0,41.0,18.0,19.0,20.0,14.0,5.0,27.0
53.0,Matías Nicolás Allasia,1091.0,162.0,56.0,76.0,53.0,63.0,60.0,62.0,59.0,146.0,39.0,31.0,143.0,41.0,54.0,14.0,5.0,27.0
54.0,Valentin Penna,1109.0,107.0,51.0,44.0,190.0,63.0,60.0,62.0,59.0,49.0,83.0,51.0,82.0,105.0,57.0,14.0,5.0,27.0
55.0,Alejandro Kolster Passos,1117.0,79.0,104.0,93.0,97.0,63.0,60.0,62.0,59.0,149.0,83.0,37.0,100.0,62.0,23.0,14.0,5.0,27.0
55.0,Julian Schaffhauser,1117.0,35.0,21.0,54.0,190.0,63.0,60.0,13.0,8.0,31.0,83.0,130.0,102.0,250.0,35.0,10.0,5.0,27.0
57.0,Lautaro Germaniez,1133.0,21.0,79.0,46.0,190.0,63.0,60.0,62.0,59.0,15.0,83.0,168.0,85.0,52.0,104.0,14.0,5.0,27.0
58.0,Germán Venturino,1146.0,119.0,36.0,70.0,38.0,63.0,60.0,62.0,59.0,24.0,81.0,65.0,282.0,37.0,104.0,14.0,5.0,27.0
59.0,Franco Tomaselli,1164.0,112.0,60.0,72.0,36.0,23.0,22.0,62.0,59.0,178.0,83.0,87.0,159.0,79.0,86.0,14.0,5.0,27.0
60.0,Sebastian Teng,1177.0,165.0,128.0,108.0,77.0,36.0,36.0,62.0,59.0,96.0,83.0,83.0,48.0,105.0,45.0,14.0,5.0,27.0
61.0,Cristian Gabriel Ledesma,1182.0,101.0,193.0,62.0,61.0,63.0,60.0,38.0,59.0,75.0,83.0,49.0,77.0,142.0,73.0,14.0,5.0,27.0
62.0,Martina Camps,1202.0,68.0,66.0,113.0,109.0,63.0,60.0,62.0,59.0,83.0,9.0,168.0,147.0,73.0,76.0,14.0,5.0,27.0
63.0,León Godoy,1208.0,164.0,134.0,128.0,145.0,63.0,60.0,62.0,38.0,84.0,28.0,61.0,57.0,34.0,104.0,14.0,5.0,27.0
64.0,Joaquín Gatafoni,1213.0,40.0,93.0,22.0,44.0,63.0,60.0,62.0,59.0,47.0,83.0,168.0,148.0,174.0,104.0,14.0,5.0,27.0
65.0,Valentin Mallavia,1214.0,50.0,37.0,59.0,101.0,63.0,60.0,36.0,27.0,67.0,83.0,54.0,234.0,250.0,50.0,14.0,5.0,24.0
66.0,Manuel Jontin Luna,1249.0,121.0,96.0,96.0,64.0,63.0,60.0,62.0,59.0,122.0,17.0,168.0,54.0,117.0,104.0,14.0,5.0,27.0
67.0,Ignacio Williams,1256.0,137.0,81.0,83.0,75.0,63.0,43.0,62.0,59.0,62.0,83.0,64.0,44.0,250.0,104.0,14.0,5.0,27.0
68.0,Mateo Franco,1277.0,125.0,6.0,94.0,113.0,63.0,60.0,62.0,59.0,87.0,83.0,60.0,202.0,130.0,87.0,14.0,5.0,27.0
69.0,Ismael Gabriel Soto,1278.0,30.0,167.0,35.0,57.0,63.0,60.0,62.0,59.0,54.0,83.0,94.0,114.0,250.0,104.0,14.0,5.0,27.0
70.0,Fernando Jose Ramos,1283.0,143.0,40.0,163.0,117.0,63.0,60.0,62.0,59.0,129.0,83.0,71.0,24.0,119.0,104.0,14.0,5.0,27.0
71.0,Mateo Coca,1292.0,93.0,226.0,90.0,37.0,25.0,60.0,62.0,59.0,114.0,83.0,73.0,106.0,114.0,104.0,14.0,5.0,27.0
72.0,Victor Hugo Mattio,1296.0,104.0,190.0,69.0,39.0,48.0,40.0,62.0,52.0,98.0,83.0,115.0,169.0,125.0,56.0,14.0,5.0,27.0
73.0,Axel Lifschitz,1300.0,62.0,53.0,57.0,91.0,47.0,54.0,62.0,59.0,152.0,83.0,168.0,130.0,132.0,104.0,14.0,5.0,27.0
74.0,Tomas Nieponice,1322.0,134.0,45.0,95.0,62.0,63.0,60.0,19.0,59.0,111.0,47.0,168.0,174.0,135.0,104.0,14.0,5.0,27.0
75.0,Diego Vargas,1352.0,59.0,86.0,43.0,40.0,50.0,60.0,49.0,59.0,12.0,83.0,168.0,243.0,250.0,104.0,14.0,5.0,27.0
