Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Thomas Strasser,120.0,2.0,6.0,2.0,1.0,2.0,3.0,1.0,9.0,8.0,18.0,3.0,18.0,35.0,7.0,1.0,1.0,3.0
2.0,Florian Truckenthanner,130.0,1.0,2.0,1.0,4.0,10.0,9.0,22.0,4.0,2.0,20.0,2.0,2.0,10.0,12.0,8.0,7.0,14.0
3.0,Jakob Fiechter,138.0,11.0,12.0,6.0,9.0,7.0,12.0,8.0,6.0,4.0,8.0,11.0,10.0,4.0,5.0,8.0,7.0,10.0
4.0,Viktor Kalmar,145.0,3.0,4.0,7.0,8.0,6.0,11.0,19.0,4.0,7.0,14.0,9.0,9.0,2.0,13.0,8.0,7.0,14.0
5.0,Simon Praschl,164.0,13.0,3.0,12.0,15.0,15.0,15.0,4.0,10.0,9.0,15.0,5.0,17.0,3.0,11.0,7.0,4.0,6.0
6.0,Thomas Heiden,174.0,5.0,5.0,15.0,14.0,12.0,20.0,15.0,1.0,24.0,5.0,15.0,4.0,7.0,3.0,8.0,7.0,14.0
7.0,Michael Röhrer,210.0,15.0,21.0,8.0,5.0,4.0,4.0,18.0,10.0,47.0,9.0,7.0,24.0,8.0,4.0,8.0,7.0,11.0
8.0,Jakob Kogler,214.0,9.0,17.0,10.0,10.0,16.0,7.0,2.0,3.0,15.0,7.0,27.0,16.0,44.0,23.0,3.0,3.0,2.0
9.0,Daniel Grabski,217.0,14.0,31.0,4.0,3.0,3.0,5.0,11.0,12.0,13.0,17.0,1.0,5.0,61.0,14.0,8.0,7.0,8.0
10.0,Alexander Helbok,226.0,25.0,25.0,13.0,12.0,11.0,14.0,28.0,6.0,14.0,4.0,13.0,19.0,11.0,2.0,8.0,7.0,14.0
11.0,Maxim Pürstinger,233.0,12.0,7.0,28.0,23.0,19.0,23.0,6.0,13.0,12.0,24.0,12.0,14.0,1.0,10.0,8.0,7.0,14.0
12.0,Marcel Niedl,260.0,8.0,42.0,5.0,16.0,21.0,19.0,16.0,21.0,10.0,6.0,14.0,15.0,37.0,1.0,8.0,7.0,14.0
13.0,Andreas Wagner,297.0,20.0,47.0,17.0,7.0,5.0,2.0,13.0,23.0,21.0,28.0,16.0,33.0,21.0,22.0,8.0,7.0,7.0
14.0,Peter Rois,342.0,33.0,10.0,16.0,18.0,14.0,6.0,28.0,23.0,35.0,22.0,33.0,11.0,55.0,9.0,8.0,7.0,14.0
15.0,Chiara Giesinger,352.0,18.0,15.0,19.0,31.0,45.0,42.0,28.0,45.0,20.0,1.0,19.0,8.0,17.0,15.0,8.0,7.0,14.0
16.0,Fabian Staber,359.0,36.0,49.0,14.0,6.0,13.0,16.0,5.0,45.0,49.0,2.0,18.0,29.0,23.0,30.0,5.0,7.0,12.0
17.0,Nikolaus Lindinger,366.0,16.0,32.0,3.0,2.0,1.0,1.0,28.0,26.0,3.0,45.0,34.0,53.0,59.0,34.0,8.0,7.0,14.0
18.0,Felix Strasser,386.0,35.0,9.0,38.0,24.0,20.0,17.0,28.0,45.0,25.0,31.0,38.0,3.0,12.0,32.0,8.0,7.0,14.0
19.0,Pablo Grasböck,394.0,23.0,11.0,21.0,17.0,17.0,21.0,21.0,21.0,5.0,39.0,8.0,42.0,94.0,25.0,8.0,7.0,14.0
20.0,Raphael Riener,406.0,31.0,49.0,27.0,25.0,22.0,25.0,7.0,23.0,23.0,32.0,23.0,7.0,48.0,49.0,4.0,6.0,5.0
21.0,Elias Lampert,438.0,41.0,39.0,34.0,22.0,9.0,8.0,12.0,40.0,61.0,3.0,29.0,34.0,46.0,45.0,6.0,5.0,4.0
22.0,Ricky Julián Domingo Ingrao,467.0,50.0,36.0,54.0,54.0,31.0,33.0,28.0,45.0,30.0,10.0,25.0,28.0,6.0,8.0,8.0,7.0,14.0
23.0,Stefan Huber,470.0,6.0,19.0,22.0,32.0,33.0,34.0,28.0,17.0,22.0,45.0,45.0,32.0,89.0,17.0,8.0,7.0,14.0
24.0,Stefan Stoiber,489.0,17.0,34.0,23.0,13.0,25.0,32.0,28.0,19.0,16.0,35.0,10.0,65.0,94.0,49.0,8.0,7.0,14.0
25.0,Thomas Millen,494.0,29.0,32.0,11.0,21.0,32.0,35.0,28.0,31.0,17.0,45.0,20.0,21.0,94.0,49.0,8.0,7.0,14.0
26.0,Alwin Federsel,507.0,4.0,1.0,24.0,62.0,51.0,42.0,28.0,45.0,29.0,45.0,69.0,1.0,28.0,49.0,8.0,7.0,14.0
27.0,Florian Hainbucher,526.0,21.0,76.0,26.0,26.0,24.0,28.0,28.0,26.0,11.0,45.0,69.0,59.0,30.0,28.0,8.0,7.0,14.0
28.0,Christopher Haslinger,558.0,7.0,25.0,20.0,11.0,8.0,10.0,28.0,45.0,65.0,45.0,46.0,76.0,94.0,49.0,8.0,7.0,14.0
29.0,Marc Lorünser,569.0,58.0,57.0,39.0,34.0,28.0,42.0,28.0,45.0,44.0,25.0,24.0,38.0,72.0,6.0,8.0,7.0,14.0
30.0,David Gugl,576.0,28.0,45.0,66.0,46.0,48.0,42.0,28.0,15.0,34.0,21.0,4.0,27.0,94.0,49.0,8.0,7.0,14.0
31.0,Chris Meusburger,582.0,22.0,18.0,33.0,19.0,51.0,36.0,26.0,26.0,33.0,45.0,26.0,75.0,94.0,49.0,8.0,7.0,14.0
32.0,Matthias Gruber,590.0,37.0,52.0,32.0,28.0,27.0,27.0,28.0,39.0,6.0,45.0,53.0,44.0,94.0,49.0,8.0,7.0,14.0
33.0,Julian Presch,600.0,55.0,87.0,31.0,43.0,49.0,42.0,28.0,45.0,50.0,45.0,17.0,41.0,14.0,24.0,8.0,7.0,14.0
34.0,Philipp Schiemer,610.0,26.0,14.0,9.0,30.0,26.0,22.0,28.0,45.0,112.0,45.0,69.0,12.0,94.0,49.0,8.0,7.0,14.0
35.0,Valentin Havlovec,611.0,32.0,59.0,45.0,33.0,23.0,18.0,28.0,17.0,64.0,42.0,31.0,69.0,94.0,27.0,8.0,7.0,14.0
36.0,Jakob Krappinger,618.0,65.0,55.0,43.0,41.0,43.0,30.0,28.0,45.0,36.0,45.0,69.0,40.0,18.0,31.0,8.0,7.0,14.0
36.0,Sanio Kasumovic,618.0,79.0,72.0,47.0,51.0,38.0,40.0,28.0,15.0,54.0,11.0,30.0,64.0,24.0,36.0,8.0,7.0,14.0
38.0,David Kindermann,625.0,82.0,67.0,37.0,37.0,37.0,42.0,28.0,45.0,43.0,45.0,22.0,35.0,38.0,38.0,8.0,7.0,14.0
39.0,David Burany,629.0,40.0,38.0,80.0,64.0,51.0,42.0,28.0,45.0,39.0,19.0,49.0,6.0,62.0,37.0,8.0,7.0,14.0
39.0,Henry Peng,629.0,39.0,85.0,18.0,20.0,18.0,13.0,28.0,45.0,112.0,23.0,69.0,36.0,45.0,49.0,8.0,7.0,14.0
41.0,Pranjal Khan,631.0,34.0,58.0,36.0,38.0,41.0,42.0,28.0,35.0,1.0,36.0,35.0,140.0,29.0,49.0,8.0,7.0,14.0
42.0,Laurenz Burner,636.0,27.0,46.0,35.0,29.0,30.0,42.0,28.0,37.0,26.0,45.0,32.0,87.0,94.0,49.0,8.0,7.0,14.0
43.0,Zi-Zhao Zheng,637.0,95.0,78.0,51.0,48.0,42.0,31.0,23.0,19.0,40.0,45.0,28.0,46.0,20.0,47.0,8.0,7.0,9.0
43.0,Albert Böhm,637.0,47.0,47.0,71.0,52.0,36.0,38.0,28.0,6.0,28.0,30.0,52.0,30.0,94.0,49.0,8.0,7.0,14.0
45.0,Sebastian Greinöcker,640.0,64.0,27.0,59.0,47.0,39.0,42.0,28.0,45.0,82.0,45.0,36.0,13.0,36.0,48.0,8.0,7.0,14.0
46.0,Noah Treichler,654.0,58.0,36.0,70.0,65.0,47.0,42.0,28.0,35.0,67.0,12.0,69.0,25.0,53.0,18.0,8.0,7.0,14.0
47.0,Christoph Prasch,660.0,24.0,23.0,25.0,27.0,51.0,42.0,28.0,45.0,19.0,45.0,6.0,153.0,94.0,49.0,8.0,7.0,14.0
48.0,Lucas Höglinger,682.0,85.0,71.0,69.0,53.0,44.0,42.0,25.0,42.0,59.0,13.0,42.0,58.0,15.0,35.0,8.0,7.0,14.0
49.0,Jonathan Herman,694.0,42.0,13.0,46.0,95.0,51.0,42.0,28.0,45.0,27.0,45.0,69.0,86.0,27.0,49.0,8.0,7.0,14.0
50.0,Florian Rappan,702.0,49.0,29.0,53.0,61.0,51.0,42.0,28.0,45.0,66.0,45.0,47.0,26.0,82.0,49.0,8.0,7.0,14.0
51.0,Alexander Kupfer,714.0,106.0,54.0,56.0,42.0,29.0,26.0,28.0,33.0,57.0,45.0,41.0,53.0,94.0,21.0,8.0,7.0,14.0
52.0,David Salzgeber,742.0,48.0,74.0,57.0,56.0,51.0,42.0,28.0,45.0,69.0,45.0,37.0,48.0,64.0,49.0,8.0,7.0,14.0
53.0,Florian Herzog,762.0,62.0,40.0,50.0,39.0,40.0,39.0,17.0,13.0,31.0,37.0,69.0,153.0,94.0,49.0,8.0,7.0,14.0
54.0,Fabio Leidwein,786.0,72.0,63.0,87.0,63.0,51.0,42.0,28.0,45.0,112.0,45.0,21.0,60.0,19.0,49.0,8.0,7.0,14.0
55.0,Dieter Amberger,791.0,133.0,150.0,82.0,55.0,34.0,24.0,3.0,2.0,71.0,27.0,44.0,101.0,41.0,19.0,2.0,2.0,1.0
56.0,Szymon Kaczmara,793.0,67.0,44.0,48.0,95.0,51.0,42.0,28.0,45.0,112.0,45.0,69.0,22.0,47.0,49.0,8.0,7.0,14.0
56.0,Viktor Strobl,793.0,100.0,70.0,65.0,49.0,51.0,42.0,28.0,45.0,70.0,45.0,69.0,65.0,16.0,49.0,8.0,7.0,14.0
58.0,Alexander Mittermüller,798.0,46.0,113.0,60.0,57.0,51.0,42.0,10.0,45.0,32.0,45.0,40.0,123.0,56.0,49.0,8.0,7.0,14.0
