Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Martin Fronescu,47.0,4.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0
2.0,Mihnea Andrei Panţu,115.0,8.0,4.0,4.0,4.0,3.0,3.0,16.0,14.0,5.0,4.0,6.0,4.0,3.0,10.0,8.0,6.0,13.0
3.0,János Bereczki,119.0,3.0,10.0,1.0,1.0,1.0,1.0,22.0,5.0,2.0,12.0,2.0,22.0,4.0,6.0,8.0,6.0,13.0
4.0,Ianis Costin Chele,130.0,1.0,2.0,2.0,3.0,5.0,9.0,60.0,12.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,13.0
5.0,Mihail Stoicescu,223.0,7.0,26.0,10.0,13.0,13.0,18.0,60.0,10.0,4.0,7.0,7.0,7.0,10.0,4.0,8.0,6.0,13.0
6.0,Christofor Gabriel Costea,275.0,13.0,5.0,20.0,27.0,22.0,25.0,41.0,2.0,13.0,21.0,20.0,23.0,9.0,7.0,8.0,6.0,13.0
7.0,Vincentiu Tarsoaga,290.0,27.0,16.0,13.0,7.0,6.0,6.0,53.0,37.0,19.0,13.0,29.0,8.0,11.0,18.0,8.0,6.0,13.0
8.0,Haluk Ulkusal,292.0,5.0,17.0,3.0,8.0,14.0,17.0,38.0,7.0,6.0,77.0,25.0,9.0,18.0,21.0,8.0,6.0,13.0
9.0,Mihai Căpăţinescu,330.0,30.0,6.0,26.0,11.0,12.0,12.0,43.0,16.0,29.0,14.0,30.0,37.0,8.0,29.0,8.0,6.0,13.0
10.0,Dragoş Mihai Cadariu,365.0,32.0,21.0,17.0,21.0,27.0,37.0,18.0,63.0,15.0,36.0,5.0,25.0,12.0,9.0,8.0,6.0,13.0
11.0,Serban Stelian,366.0,2.0,20.0,8.0,18.0,73.0,46.0,8.0,10.0,8.0,18.0,11.0,20.0,81.0,16.0,8.0,6.0,13.0
12.0,Alexandru Constantin Stoica,380.0,62.0,39.0,29.0,9.0,9.0,8.0,33.0,16.0,31.0,23.0,16.0,32.0,23.0,23.0,8.0,6.0,13.0
13.0,David Serban Enescu,390.0,17.0,41.0,9.0,16.0,10.0,21.0,10.0,26.0,7.0,25.0,54.0,76.0,6.0,45.0,8.0,6.0,13.0
14.0,Turcanu Vlad,396.0,57.0,50.0,39.0,32.0,24.0,23.0,29.0,24.0,21.0,16.0,13.0,21.0,12.0,8.0,8.0,6.0,13.0
15.0,Bogdan Briciu,415.0,9.0,66.0,6.0,6.0,7.0,5.0,58.0,63.0,10.0,77.0,23.0,39.0,14.0,5.0,8.0,6.0,13.0
16.0,Alexandru Ioan Popescu,449.0,16.0,91.0,7.0,5.0,4.0,4.0,60.0,26.0,20.0,54.0,18.0,51.0,32.0,34.0,8.0,6.0,13.0
17.0,András Szigeti,466.0,48.0,44.0,16.0,23.0,23.0,19.0,60.0,41.0,42.0,29.0,24.0,37.0,7.0,26.0,8.0,6.0,13.0
18.0,Flavian Glonț,474.0,37.0,31.0,21.0,22.0,25.0,27.0,24.0,24.0,11.0,77.0,40.0,52.0,31.0,25.0,8.0,6.0,13.0
19.0,Paul Becsi,480.0,28.0,8.0,31.0,37.0,73.0,60.0,23.0,63.0,9.0,9.0,10.0,30.0,73.0,3.0,8.0,6.0,9.0
20.0,Alexandru Ignat,488.0,54.0,52.0,41.0,17.0,8.0,7.0,15.0,63.0,35.0,15.0,35.0,64.0,18.0,47.0,5.0,6.0,6.0
21.0,Raluca Ioana Grigoraș,510.0,26.0,63.0,23.0,39.0,35.0,60.0,2.0,63.0,26.0,53.0,27.0,30.0,28.0,22.0,1.0,1.0,11.0
22.0,Maya Maghiar,534.0,31.0,70.0,30.0,19.0,38.0,42.0,48.0,63.0,18.0,34.0,44.0,18.0,35.0,17.0,8.0,6.0,13.0
23.0,Matei-Alexandru Ghencea,555.0,21.0,22.0,19.0,10.0,16.0,10.0,60.0,1.0,32.0,1.0,157.0,26.0,54.0,99.0,8.0,6.0,13.0
24.0,Jacob Ryan Boantă,608.0,35.0,42.0,11.0,12.0,15.0,13.0,60.0,63.0,38.0,77.0,19.0,71.0,67.0,58.0,8.0,6.0,13.0
25.0,Antonio Pruteanu,612.0,37.0,12.0,22.0,15.0,19.0,15.0,31.0,54.0,36.0,77.0,22.0,186.0,29.0,30.0,8.0,6.0,13.0
26.0,Matei Alexandru Stroescu,629.0,6.0,59.0,37.0,28.0,44.0,47.0,60.0,63.0,24.0,20.0,65.0,24.0,26.0,99.0,8.0,6.0,13.0
27.0,Mara Oprea,637.0,62.0,172.0,70.0,36.0,20.0,11.0,7.0,37.0,71.0,66.0,31.0,10.0,17.0,14.0,2.0,3.0,8.0
28.0,Alexandru Dima,665.0,45.0,86.0,49.0,33.0,18.0,14.0,47.0,57.0,56.0,22.0,26.0,84.0,53.0,48.0,8.0,6.0,13.0
29.0,Sorin Turculeț,679.0,12.0,32.0,18.0,69.0,73.0,60.0,12.0,63.0,22.0,31.0,38.0,19.0,104.0,99.0,8.0,6.0,13.0
30.0,David Petru Ciubuc,732.0,19.0,3.0,12.0,14.0,11.0,16.0,59.0,63.0,23.0,71.0,47.0,86.0,248.0,33.0,8.0,6.0,13.0
31.0,Vasile Dan,752.0,70.0,76.0,42.0,42.0,31.0,32.0,14.0,36.0,65.0,27.0,8.0,65.0,176.0,53.0,6.0,5.0,4.0
32.0,Matei Mălin Niţă,762.0,105.0,56.0,69.0,45.0,54.0,60.0,25.0,23.0,74.0,74.0,42.0,81.0,15.0,12.0,8.0,6.0,13.0
33.0,Cristian Vlad Voicu,774.0,53.0,15.0,63.0,56.0,52.0,60.0,60.0,63.0,73.0,76.0,67.0,5.0,5.0,99.0,8.0,6.0,13.0
34.0,Filip Obreja,786.0,88.0,19.0,56.0,38.0,30.0,41.0,60.0,63.0,62.0,77.0,46.0,49.0,106.0,24.0,8.0,6.0,13.0
35.0,Bogdan Grigoruţă,812.0,137.0,91.0,60.0,41.0,37.0,35.0,30.0,4.0,63.0,59.0,39.0,47.0,99.0,43.0,8.0,6.0,13.0
36.0,Stefania Petcu,814.0,131.0,14.0,78.0,55.0,47.0,40.0,60.0,44.0,130.0,30.0,4.0,33.0,42.0,79.0,8.0,6.0,13.0
37.0,Andrei Răzvan Ionel,829.0,60.0,132.0,36.0,40.0,29.0,28.0,11.0,21.0,37.0,50.0,98.0,72.0,120.0,72.0,8.0,2.0,13.0
38.0,Dan Alexandru Cechi,830.0,28.0,69.0,48.0,35.0,21.0,22.0,9.0,63.0,40.0,77.0,157.0,53.0,162.0,20.0,8.0,6.0,12.0
39.0,Ilie-Laurenţiu Soare,888.0,51.0,114.0,27.0,48.0,33.0,38.0,60.0,32.0,49.0,48.0,57.0,129.0,81.0,94.0,8.0,6.0,13.0
40.0,Alex Chisăliță-Ignat,892.0,44.0,74.0,82.0,77.0,55.0,60.0,26.0,8.0,55.0,35.0,130.0,57.0,63.0,99.0,8.0,6.0,13.0
41.0,Alecsa Rares,910.0,66.0,47.0,53.0,54.0,73.0,60.0,36.0,45.0,25.0,75.0,157.0,74.0,76.0,42.0,8.0,6.0,13.0
42.0,Gal Mihai Alexandru,929.0,57.0,13.0,33.0,68.0,73.0,60.0,60.0,63.0,95.0,77.0,60.0,94.0,50.0,99.0,8.0,6.0,13.0
43.0,Paul Ștefan Tuinea,931.0,24.0,18.0,62.0,146.0,73.0,60.0,60.0,63.0,81.0,77.0,90.0,29.0,22.0,99.0,8.0,6.0,13.0
44.0,Iulius Urieșu,956.0,50.0,106.0,32.0,46.0,73.0,60.0,20.0,63.0,180.0,77.0,51.0,3.0,69.0,99.0,8.0,6.0,13.0
45.0,Mateescu Silvia,1016.0,49.0,112.0,64.0,70.0,73.0,60.0,60.0,63.0,159.0,10.0,17.0,108.0,45.0,99.0,8.0,6.0,13.0
46.0,Robert Mihai Martius,1029.0,89.0,45.0,96.0,146.0,73.0,60.0,60.0,63.0,119.0,26.0,157.0,6.0,27.0,35.0,8.0,6.0,13.0
47.0,Vieriu-Eftimiu Luca Marian,1042.0,34.0,53.0,88.0,84.0,58.0,60.0,60.0,63.0,137.0,24.0,132.0,77.0,46.0,99.0,8.0,6.0,13.0
48.0,Mihai Isărescu,1048.0,81.0,60.0,50.0,64.0,45.0,45.0,60.0,49.0,48.0,77.0,53.0,79.0,264.0,46.0,8.0,6.0,13.0
49.0,Kaan Ulkusal,1069.0,83.0,132.0,51.0,44.0,26.0,26.0,56.0,63.0,70.0,77.0,122.0,175.0,57.0,60.0,8.0,6.0,13.0
50.0,Radu Făciu,1073.0,80.0,118.0,52.0,49.0,39.0,36.0,39.0,8.0,59.0,65.0,112.0,55.0,264.0,70.0,8.0,6.0,13.0
51.0,Cezar Alexandru Dinulescu,1076.0,89.0,121.0,108.0,146.0,73.0,60.0,60.0,63.0,76.0,19.0,59.0,11.0,65.0,99.0,8.0,6.0,13.0
52.0,Petru Alexandru Nistor,1087.0,112.0,172.0,83.0,57.0,73.0,60.0,60.0,63.0,44.0,77.0,37.0,107.0,16.0,99.0,8.0,6.0,13.0
53.0,Dragoş Iordan,1094.0,231.0,154.0,114.0,61.0,34.0,30.0,60.0,63.0,152.0,28.0,33.0,44.0,44.0,19.0,8.0,6.0,13.0
54.0,David Racoviță,1098.0,33.0,77.0,115.0,53.0,73.0,60.0,60.0,63.0,68.0,77.0,12.0,17.0,264.0,99.0,8.0,6.0,13.0
55.0,Teodor Ghețu,1145.0,56.0,152.0,130.0,99.0,73.0,60.0,40.0,63.0,84.0,3.0,56.0,152.0,57.0,93.0,8.0,6.0,13.0
56.0,Ramy Ștefan Taleb,1155.0,103.0,139.0,149.0,91.0,73.0,60.0,60.0,16.0,83.0,11.0,66.0,93.0,85.0,99.0,8.0,6.0,13.0
57.0,Radu Andreas,1156.0,18.0,89.0,134.0,146.0,73.0,60.0,60.0,63.0,46.0,77.0,157.0,46.0,61.0,99.0,8.0,6.0,13.0
57.0,Despescu Ionut Valentin,1156.0,59.0,88.0,24.0,146.0,17.0,33.0,45.0,55.0,290.0,77.0,157.0,15.0,24.0,99.0,8.0,6.0,13.0
59.0,Stefan Rares Gabriel,1165.0,270.0,10.0,95.0,66.0,73.0,60.0,60.0,63.0,187.0,77.0,36.0,60.0,50.0,31.0,8.0,6.0,13.0
60.0,Ștefan Balan,1177.0,119.0,48.0,45.0,31.0,73.0,60.0,60.0,63.0,100.0,77.0,34.0,95.0,264.0,81.0,8.0,6.0,13.0
61.0,Andrei Ciobotaru,1178.0,116.0,91.0,55.0,47.0,73.0,29.0,52.0,63.0,47.0,77.0,15.0,317.0,70.0,99.0,8.0,6.0,13.0
62.0,Verzotti Matteo Alexandru,1182.0,103.0,130.0,80.0,60.0,73.0,60.0,46.0,63.0,64.0,77.0,157.0,91.0,59.0,92.0,8.0,6.0,13.0
63.0,Iulian Steavu,1184.0,135.0,153.0,35.0,26.0,28.0,20.0,60.0,41.0,193.0,55.0,157.0,103.0,52.0,99.0,8.0,6.0,13.0
64.0,Cristian Emanuel Turcu,1193.0,170.0,128.0,74.0,52.0,36.0,31.0,60.0,63.0,79.0,77.0,69.0,83.0,145.0,99.0,8.0,6.0,13.0
65.0,Ștefan Darius Iordache,1195.0,24.0,24.0,89.0,137.0,73.0,60.0,19.0,63.0,92.0,77.0,142.0,195.0,74.0,99.0,8.0,6.0,13.0
66.0,Cristian Antoniu Leana,1202.0,45.0,159.0,15.0,30.0,73.0,60.0,13.0,16.0,17.0,77.0,48.0,259.0,264.0,99.0,8.0,6.0,13.0
67.0,Mihai Savin,1211.0,22.0,66.0,38.0,34.0,73.0,60.0,60.0,63.0,33.0,77.0,157.0,138.0,264.0,99.0,8.0,6.0,13.0
68.0,Nicolae Comiati,1218.0,42.0,200.0,14.0,29.0,32.0,24.0,49.0,63.0,34.0,77.0,28.0,319.0,181.0,99.0,8.0,6.0,13.0
69.0,Rares Petru Georgescu,1225.0,114.0,60.0,161.0,96.0,73.0,60.0,60.0,63.0,107.0,58.0,103.0,114.0,30.0,99.0,8.0,6.0,13.0
70.0,Rafael Todirașcu,1226.0,99.0,54.0,110.0,146.0,73.0,60.0,60.0,63.0,125.0,77.0,157.0,43.0,33.0,99.0,8.0,6.0,13.0
71.0,Luca Alexandru-Teodo,1227.0,217.0,79.0,67.0,82.0,73.0,60.0,60.0,63.0,207.0,72.0,68.0,63.0,48.0,41.0,8.0,6.0,13.0
72.0,Nicolae Binică,1295.0,99.0,35.0,194.0,146.0,73.0,60.0,50.0,45.0,143.0,77.0,81.0,40.0,136.0,89.0,8.0,6.0,13.0
73.0,Teodor-David Soporan,1298.0,15.0,124.0,102.0,130.0,73.0,60.0,60.0,63.0,14.0,77.0,80.0,110.0,264.0,99.0,8.0,6.0,13.0
74.0,Eduard Satran,1300.0,178.0,188.0,75.0,67.0,69.0,57.0,60.0,63.0,110.0,77.0,52.0,131.0,60.0,86.0,8.0,6.0,13.0
75.0,Vlad Andrei Stanculescu,1313.0,73.0,70.0,47.0,146.0,73.0,60.0,60.0,63.0,128.0,77.0,157.0,36.0,264.0,32.0,8.0,6.0,13.0
76.0,Şuhan Vlad-Andrei,1329.0,211.0,137.0,163.0,73.0,73.0,60.0,60.0,63.0,194.0,77.0,55.0,62.0,25.0,49.0,8.0,6.0,13.0
77.0,Anais Isabelle Necula,1351.0,102.0,79.0,113.0,79.0,73.0,60.0,60.0,63.0,93.0,77.0,157.0,164.0,105.0,99.0,8.0,6.0,13.0
78.0,Lorenzo Logofetescu,1352.0,115.0,150.0,90.0,20.0,73.0,60.0,60.0,63.0,78.0,77.0,50.0,126.0,264.0,99.0,8.0,6.0,13.0
79.0,Roxana Terebenţ,1365.0,111.0,125.0,107.0,72.0,73.0,60.0,60.0,63.0,107.0,77.0,157.0,90.0,137.0,99.0,8.0,6.0,13.0
80.0,Liviu Boboc,1366.0,40.0,104.0,46.0,51.0,42.0,50.0,60.0,63.0,101.0,77.0,83.0,297.0,226.0,99.0,8.0,6.0,13.0
81.0,Tudor-Ștefan Cioinac,1378.0,118.0,121.0,97.0,146.0,73.0,60.0,60.0,63.0,118.0,77.0,157.0,85.0,77.0,99.0,8.0,6.0,13.0
82.0,Vladimir Răzvan Morar,1387.0,158.0,215.0,177.0,146.0,73.0,60.0,60.0,63.0,43.0,77.0,64.0,69.0,56.0,99.0,8.0,6.0,13.0
83.0,Bell Daniel Alin,1400.0,23.0,60.0,76.0,146.0,73.0,60.0,60.0,63.0,60.0,77.0,157.0,155.0,264.0,99.0,8.0,6.0,13.0
84.0,Andrei Dăian,1408.0,79.0,29.0,72.0,80.0,73.0,54.0,1.0,63.0,28.0,77.0,107.0,366.0,264.0,99.0,8.0,6.0,2.0
85.0,Alexandru Ioan Stan,1413.0,52.0,186.0,58.0,110.0,73.0,60.0,60.0,45.0,54.0,77.0,89.0,159.0,264.0,99.0,8.0,6.0,13.0
86.0,Tudor Sandu,1431.0,132.0,33.0,191.0,146.0,73.0,60.0,60.0,63.0,122.0,77.0,157.0,57.0,134.0,99.0,8.0,6.0,13.0
87.0,George Iancu,1432.0,155.0,110.0,187.0,146.0,73.0,60.0,60.0,63.0,290.0,77.0,32.0,13.0,40.0,99.0,8.0,6.0,13.0
88.0,Radu Mihai Stan,1434.0,196.0,81.0,157.0,146.0,73.0,60.0,60.0,63.0,103.0,77.0,157.0,35.0,100.0,99.0,8.0,6.0,13.0
89.0,Ioan Buda,1452.0,83.0,128.0,142.0,146.0,73.0,60.0,60.0,63.0,45.0,77.0,157.0,28.0,264.0,99.0,8.0,6.0,13.0
90.0,Bogdan Ionuț Micu,1469.0,110.0,57.0,174.0,146.0,73.0,60.0,60.0,26.0,140.0,77.0,157.0,115.0,148.0,99.0,8.0,6.0,13.0
91.0,Alexandru Ciopeica,1477.0,73.0,140.0,61.0,146.0,73.0,60.0,60.0,63.0,53.0,47.0,157.0,154.0,264.0,99.0,8.0,6.0,13.0
92.0,Mihnea Paul Dumitru,1479.0,92.0,164.0,101.0,75.0,73.0,60.0,60.0,63.0,88.0,77.0,157.0,158.0,185.0,99.0,8.0,6.0,13.0
93.0,Rareş Alexandru Popa,1490.0,173.0,191.0,117.0,65.0,57.0,44.0,60.0,63.0,124.0,77.0,73.0,219.0,137.0,63.0,8.0,6.0,13.0
94.0,Lázár Benedek,1496.0,244.0,102.0,132.0,134.0,73.0,60.0,60.0,63.0,172.0,51.0,91.0,142.0,94.0,51.0,8.0,6.0,13.0
95.0,Alexandru Mărășescu,1497.0,168.0,34.0,118.0,111.0,67.0,60.0,60.0,63.0,102.0,77.0,101.0,146.0,264.0,99.0,8.0,6.0,13.0
96.0,Pacurariu Andrei,1508.0,132.0,54.0,87.0,146.0,73.0,60.0,60.0,63.0,167.0,77.0,157.0,42.0,264.0,99.0,8.0,6.0,13.0
97.0,Călin Căpitanu,1527.0,194.0,175.0,112.0,105.0,60.0,52.0,60.0,26.0,97.0,77.0,114.0,233.0,120.0,75.0,8.0,6.0,13.0
98.0,Ghene Alexandru Cristian,1528.0,41.0,155.0,28.0,133.0,73.0,60.0,60.0,63.0,219.0,77.0,157.0,229.0,107.0,99.0,8.0,6.0,13.0
99.0,Miruna Mihai,1533.0,169.0,200.0,79.0,78.0,65.0,59.0,60.0,26.0,116.0,77.0,131.0,150.0,197.0,99.0,8.0,6.0,13.0
100.0,Mihai Ciubotaru,1535.0,316.0,135.0,160.0,146.0,73.0,60.0,60.0,63.0,157.0,77.0,49.0,34.0,102.0,76.0,8.0,6.0,13.0
101.0,Demir Polat,1538.0,205.0,39.0,230.0,93.0,48.0,60.0,60.0,49.0,186.0,77.0,109.0,188.0,98.0,69.0,8.0,6.0,13.0
102.0,Luca G. Mihai,1541.0,282.0,50.0,225.0,146.0,73.0,60.0,60.0,63.0,171.0,77.0,61.0,106.0,41.0,99.0,8.0,6.0,13.0
103.0,Valentin Chifor,1559.0,92.0,135.0,84.0,146.0,73.0,60.0,60.0,40.0,91.0,77.0,157.0,215.0,203.0,99.0,8.0,6.0,13.0
104.0,Matei Corjos,1572.0,76.0,116.0,100.0,146.0,73.0,60.0,57.0,63.0,99.0,77.0,157.0,204.0,218.0,99.0,8.0,6.0,13.0
105.0,David-Mihail Ion,1574.0,96.0,27.0,155.0,50.0,73.0,60.0,60.0,63.0,66.0,77.0,157.0,544.0,20.0,99.0,8.0,6.0,13.0
